Sample,N,Mean,St. Dev.,Min,Q1,Median,Q3,Max
Main sample - All,23053,74.5979908746531,3.72853254704327,63.3,72.238315539739,75.6,77.0230240549828,87.9
Main sample - Female Protagonist,2934,74.0321641389852,3.64832926829771,63.3,71.2578838816317,75.0333750486467,76.4527160011368,87.9
Main sample - No Female Protagonist tag,20119,74.680506687688,3.73301502060801,63.3,72.4232189973615,75.6,77.0971113890626,87.9
80% robustness - All,26088,74.3148398835276,3.84396270941906,63.3,71.5988246197435,75.5599043062201,76.9123195061517,87.9
80% robustness - Female Protagonist,3431,73.6569643962564,3.77876727242913,63.3,70.4253688720752,74.3079457364341,76.2401331360947,87.9
80% robustness - No Female Protagonist tag,22657,74.414463434608,3.84401764649916,63.3,71.8191358024691,75.6,76.9961630695444,87.9
