Sample,N,Mean,St. Dev.,Min,Q1,Median,Q3,Max
Main sample - All,23053,72.7273265541361,4.1234076700648,51.8,72.1,73.8577878103838,75.3822147651007,81.8
Main sample - Female Protagonist,2934,72.8777943425892,3.72131441222621,51.8,72.3138010443166,73.7651515151516,75.2867170329671,81.5
Main sample - No Female Protagonist tag,20119,72.7053834907968,4.17844694485239,51.8,72.062902360515,73.8729824561404,75.3981563296517,81.8
80% robustness - All,26088,72.649931613675,4.18561620353414,51.8,72.0885590830822,73.7776550249465,75.3027745353327,81.8
80% robustness - Female Protagonist,3431,72.7513742783885,3.81199808615059,51.8,72.2386163917915,73.6399038461539,75.2010460251046,81.5
80% robustness - No Female Protagonist tag,22657,72.6345699248974,4.23919067611773,51.8,72.0495677233429,73.8,75.331941923775,81.8
