Variable,N,Mean,St. Dev.,Min,P25,Median,P75,Max
Estimated Revenue (USD),79891,1157377.82164449,44303668.6392214,1,226,1800,20500,10700000256
Ln(Revenue),79891,7.74724191194955,3.44954235518412,0,5.42053499927229,7.49554194388426,9.9281801651265,23.0935096023395
Female Protagonist,79891,0.105869246848832,0.307672121440318,0,0,0,0,1
Is Free,79891,0.0270869059093014,0.162337719911915,0,0,0,0,1
Early Access,79891,0.124532175088558,0.330189759277306,0,0,0,0,1
Current Price (USD),79891,8.42523212877546,13.587113294596,0,2.99,4.99,9.99,1900
