item,value
Russia score,70.8
Score year,2021
Score scale,0-100
Taiwan,Remains uncovered
Hong Kong,Remains uncovered
Official source,"World Economic Forum, Global Gender Gap Report 2021"
Exact source location,"Table 1.1, report/PDF page 10, Russian Federation row (rank 81)"
Interpretation,Separate cross-year sensitivity analysis; not part of the 2025 main model
