model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95
H2_M4,H2,Language extension selected by pre-specified prevalence rule,genre_Racing,0.025,0.141,0.178,0.859,-0.251,0.301
H2_M4,H2,Language extension selected by pre-specified prevalence rule,genre_RPG,-0.323,0.054,-6.003,<0.001,-0.428,-0.217
H2_M4,H2,Language extension selected by pre-specified prevalence rule,genre_Strategy,0.088,0.058,1.504,0.133,-0.027,0.203
H2_M4,H2,Language extension selected by pre-specified prevalence rule,genre_Other,0.054,0.101,0.533,0.594,-0.144,0.251
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2009,0.010,0.213,0.049,0.961,-0.407,0.428
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2010,0.479,0.228,2.099,0.036,0.032,0.926
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2011,0.394,0.225,1.749,0.080,-0.048,0.836
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2012,0.658,0.202,3.259,0.001,0.262,1.054
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2013,0.505,0.195,2.590,0.010,0.123,0.886
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2014,-0.046,0.158,-0.290,0.772,-0.356,0.264
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2015,-0.725,0.157,-4.633,<0.001,-1.032,-0.418
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2016,-0.907,0.158,-5.739,<0.001,-1.216,-0.597
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2017,-1.214,0.160,-7.596,<0.001,-1.528,-0.901
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2018,-1.109,0.166,-6.679,<0.001,-1.434,-0.783
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2019,-0.786,0.171,-4.592,<0.001,-1.122,-0.451
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2020,-0.505,0.170,-2.980,0.003,-0.838,-0.173
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2021,-0.697,0.169,-4.120,<0.001,-1.028,-0.365
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2022,-0.530,0.167,-3.174,0.002,-0.857,-0.203
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2023,-0.559,0.170,-3.295,<0.001,-0.892,-0.227
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2024,-0.663,0.155,-4.283,<0.001,-0.967,-0.360
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2025,-0.256,0.158,-1.615,0.106,-0.566,0.055
H2_M4,H2,Language extension selected by pre-specified prevalence rule,factor(release_period)2026,-0.179,0.332,-0.538,0.591,-0.830,0.472
H2_M4,H2,Language extension selected by pre-specified prevalence rule,language_count,-0.009,0.004,-2.439,0.015,-0.016,-0.002
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_French,0.530,0.103,5.156,<0.001,0.328,0.731
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_German,0.976,0.101,9.673,<0.001,0.778,1.174
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_Italian,-0.133,0.078,-1.695,0.090,-0.286,0.021
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_Spanish,0.462,0.096,4.831,<0.001,0.274,0.649
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_Simplified_Chinese,-2.359,0.066,-35.998,<0.001,-2.488,-2.231
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_Korean,0.657,0.082,8.048,<0.001,0.497,0.817
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_Russian,0.264,0.071,3.732,<0.001,0.126,0.403
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_Japanese,-1.927,0.070,-27.728,<0.001,-2.064,-1.791
H2_M4,H2,Language extension selected by pre-specified prevalence rule,lang_Portuguese,0.195,0.077,2.531,0.011,0.044,0.345
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,(Intercept),76.431,0.128,597.096,<0.001,76.180,76.682
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,tag_female_protagonist,-0.576,0.070,-8.264,<0.001,-0.713,-0.440
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,is_free,0.404,0.067,6.047,<0.001,0.273,0.535
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,is_early_access,0.453,0.077,5.877,<0.001,0.302,0.604
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,genre_Action,-0.048,0.051,-0.932,0.351,-0.149,0.053
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,genre_Adventure,0.001,0.052,0.019,0.985,-0.101,0.103
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,genre_Simulation,0.333,0.060,5.565,<0.001,0.216,0.451
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,genre_Sports,0.427,0.125,3.430,<0.001,0.183,0.672
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,genre_Racing,0.161,0.142,1.133,0.257,-0.117,0.438
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,genre_RPG,-0.836,0.056,-14.886,<0.001,-0.946,-0.726
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,genre_Strategy,0.047,0.061,0.763,0.446,-0.073,0.166
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,genre_Other,-0.149,0.105,-1.423,0.155,-0.354,0.056
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2009,-0.061,0.182,-0.336,0.737,-0.417,0.295
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2010,0.496,0.195,2.548,0.011,0.114,0.877
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2011,0.449,0.189,2.371,0.018,0.078,0.820
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2012,0.453,0.171,2.654,0.008,0.118,0.787
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2013,0.227,0.161,1.415,0.157,-0.088,0.542
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2014,-0.369,0.139,-2.662,0.008,-0.641,-0.097
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2015,-1.255,0.137,-9.160,<0.001,-1.523,-0.986
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2016,-1.733,0.139,-12.480,<0.001,-2.005,-1.460
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2017,-2.182,0.142,-15.410,<0.001,-2.460,-1.905
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2018,-2.277,0.148,-15.430,<0.001,-2.566,-1.987
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2019,-2.222,0.157,-14.139,<0.001,-2.530,-1.914
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2020,-2.205,0.154,-14.313,<0.001,-2.507,-1.903
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2021,-2.428,0.152,-15.989,<0.001,-2.726,-2.131
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2022,-2.270,0.153,-14.823,<0.001,-2.571,-1.970
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2023,-2.406,0.154,-15.645,<0.001,-2.708,-2.105
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2024,-2.554,0.135,-18.921,<0.001,-2.819,-2.290
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2025,-2.070,0.140,-14.836,<0.001,-2.344,-1.797
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,factor(release_period)2026,-2.196,0.332,-6.612,<0.001,-2.848,-1.545
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,(Intercept),74.334,0.126,590.606,<0.001,74.087,74.581
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,tag_female_protagonist,-0.020,0.073,-0.277,0.782,-0.163,0.123
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,is_free,0.068,0.071,0.954,0.340,-0.072,0.208
