model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95
H1_M1,H1,Female Protagonist only,(Intercept),7.61643130846148,0.0128943353314211,590.680412188573,0,7.59115887560732,7.64170374131565
H1_M1,H1,Female Protagonist only,tag_female_protagonist,1.23558641797891,0.0378786749816254,32.619578656811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000730142637842595,1.16134557923283,1.30982725672499
H1_M2,H1,Add Free to Play and Early Access,(Intercept),7.53847260975989,0.013731734941396,548.981803241355,0,7.5115589038295,7.56538631569027
H1_M2,H1,Add Free to Play and Early Access,tag_female_protagonist,1.26907882938618,0.0379940464042875,33.4020445172424,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000611693039090848,1.19461186680684,1.34354579196553
H1_M2,H1,Add Free to Play and Early Access,is_free,1.82128608456621,0.0868676172394403,20.9662258784658,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000244418647941716,1.6510286833541,1.99154348577833
H1_M2,H1,Add Free to Play and Early Access,is_early_access,0.201392752566644,0.0378909190729585,5.31506644583798,0.000000106903596433057,0.127127915842524,0.275657589290765
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",(Intercept),12.1104720427323,0.138792923998168,87.2556877819807,0,11.8384429103869,12.3825011750778
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",tag_female_protagonist,1.21262673428689,0.0357652093835271,33.9052043924398,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033916491952555,1.14252821199565,1.28272525657814
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",is_free,1.70102726039524,0.0829575516710648,20.5047910181823,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003396391411751,1.53843344687433,1.86362107391615
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",is_early_access,0.183095581731952,0.0368593536816322,4.96741161859255,0.000000679922997130225,0.110852576022529,0.255338587441375
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Action,-0.164901123271027,0.0259334585095126,-6.35862444689124,0.000000000204664296323248,-0.215729767944235,-0.114072478597818
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Adventure,0.244947233607202,0.025724294253247,9.52201958179218,0.00000000000000000000174370551751841,0.194528543343127,0.295365923871277
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Simulation,0.926735673214007,0.0300460890745888,30.8438036948304,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011358781936631,0.86784642075153,0.985624925676483
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Sports,0.0267407020230881,0.0569969932573697,0.469159871334626,0.638956647872268,-0.0849713519884288,0.138452756034605
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Racing,-0.33794122929345,0.062701121369225,-5.38971587610741,0.0000000707685727349246,-0.460833168967405,-0.215049289619494
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_RPG,0.787555989419813,0.0313844086465431,25.0938610406655,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200401042710078,0.726043678796501,0.849068300043125
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Strategy,0.041255116076277,0.0310133091040601,1.33023908986468,0.183443309151417,-0.0195298528090889,0.102040084961643
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Other,-0.966536901103083,0.037802919927522,-25.5677842599509,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132372272447319,-1.04062926267148,-0.892444539534688
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2009,-0.72393720891953,0.209592483922106,-3.45402275583784,0.000552577278463444,-1.13473092883715,-0.313143489001913
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2010,-0.539499715446132,0.21710988580197,-2.48491547703277,0.0129602523458484,-0.965027272305597,-0.113972158586668
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2011,-0.0904408752790431,0.214633792577773,-0.421372954336962,0.673483899810093,-0.511115378596719,0.330233628038633
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2012,0.22940999057206,0.193791821291421,1.18379603970529,0.236497335532394,-0.150414999657548,0.609234980801668
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2013,0.273109168884877,0.18057389911616,1.51245097005514,0.130423135628278,-0.0808091699307668,0.62702750770052
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2014,-1.39921066593508,0.150873717142233,-9.27405178607748,0.0000000000000000000183501456191675,-1.69491771774754,-1.10350361412262
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2015,-2.33845570249437,0.14735575367705,-15.8694563608247,0.0000000000000000000000000000000000000000000000000000000125937747472453,-2.62726767261615,-2.0496437323726
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2016,-2.90999092120465,0.144126549807756,-20.190526485829,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199730502223138,-3.19247376804387,-2.62750807436543
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2017,-3.97791254787429,0.14352191711126,-27.7164117365474,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000279190642071013,-4.2592103364045,-3.69661475934408
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2018,-4.70340044152009,0.142965413577317,-32.8988692008116,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000871440880956555,-4.98360750316651,-4.42319337987368
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2019,-5.07174504534535,0.144127549826837,-35.1892823505211,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000340846062151398,-5.35422985218595,-4.78926023850475
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2020,-4.98864035412867,0.142748664026597,-34.9470195615924,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000147626668300254,-5.26842259446201,-4.70885811379534
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2021,-5.30392209901564,0.141620725910917,-37.4515952019052,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252050957302197,-5.58149362126545,-5.02635057676582
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2022,-5.37034513954278,0.141373727979605,-37.9868679725099,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111256709616874,-5.64743255474297,-5.09325772434259
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2023,-5.52230390635678,0.141172732520205,-39.1173550853131,0,-5.79899737769549,-5.24561043501807
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2024,-5.66835262125533,0.140440837580426,-40.3611422354931,0,-5.94361160487161,-5.39309363763906
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2025,-4.45926214236287,0.144508431255298,-30.8581451173936,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000073323744594203,-4.74249346308564,-4.17603082164011
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2026,-5.26061594499687,0.24759986458101,-21.2464411234591,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000673503962581946,-5.74590276215264,-4.77532912784109
H1_M4,H1,Price sensitivity: main H1 plus current price,(Intercept),11.4805436621019,0.261342301148392,43.9291443124745,0,10.9683221642142,11.9927651599896
H1_M4,H1,Price sensitivity: main H1 plus current price,tag_female_protagonist,1.07783568328387,0.0588113925185729,18.3269879716499,0.00000000000000000000000000000000000000000000000000000000000000000000000000718474670902384,0.962567472066817,1.19310389450092
H1_M4,H1,Price sensitivity: main H1 plus current price,is_free,2.07974679297994,0.232720149639066,8.93668552639508,0.000000000000000000409307200616588,1.6236236812106,2.53586990474928
H1_M4,H1,Price sensitivity: main H1 plus current price,is_early_access,0.0922468720897979,0.0508763080601134,1.81315971239113,0.0698109458754922,-0.00746885937438918,0.191962603553985
H1_M4,H1,Price sensitivity: main H1 plus current price,genre_Action,-0.150304687127012,0.0252644586210703,-5.94925422235882,0.00000000270484867589725,-0.199822116113213,-0.100787258140812
H1_M4,H1,Price sensitivity: main H1 plus current price,genre_Adventure,0.229970939213951,0.0250729038763541,9.17209033098208,0.0000000000000000000474573754277144,0.180828950628462,0.27911292779944
